step,loss,opd_loss,grad_norm,entropy,student_entropy,teacher_entropy,opd_topk_overlap,opd_loss_tokens,opd_response_tokens,opd_route_id,opd_veto_beta
1,0.2857,0.2851564884185791,33.6917948137821,0.2874038815498352,0.6761607527732849,2.798790216445923,0.6154296398162842,64.0,64.0,2.0,1.0
2,0.0856,0.07998533546924591,3.0256167336800512,0.5463772416114807,0.7095062136650085,0.7298383116722107,0.7861979007720947,24.0,24.0,3.0,0.998
3,0.5256,0.25514328479766846,47.08484173453642,0.14486461877822876,0.583122193813324,5.264249324798584,0.41015625,24.0,24.0,4.0,0.996
4,0.0758,0.09845459461212158,13.720589634762467,0.30536264181137085,0.6125020980834961,2.7229340076446533,0.6940430402755737,64.0,64.0,1.0,0.994
5,0.1806,0.14606623351573944,49.717410698142395,0.32770758867263794,0.7609519958496094,5.108213424682617,0.47187501192092896,52.0,52.0,4.0,0.992
6,0.2702,0.20574286580085754,48.710819915287765,0.151516854763031,0.5723514556884766,5.00898551940918,0.453125,24.0,24.0,4.0,0.99
7,0.2855,0.19909459352493286,48.5711604484679,0.1619216501712799,0.5716140270233154,4.921826362609863,0.4528645873069763,24.0,24.0,4.0,0.988
8,0.2315,0.11019937694072723,43.911160650530846,0.3277410864830017,0.7091089487075806,5.012112617492676,0.49980467557907104,64.0,64.0,4.0,0.986
9,0.181,0.20136061310768127,50.46170566110475,0.23191353678703308,0.6014106273651123,4.360076427459717,0.5098958015441895,24.0,24.0,4.0,0.984
10,0.2123,0.21878895163536072,52.363361395784416,0.16036784648895264,0.5818154811859131,4.965925216674805,0.4479166567325592,24.0,24.0,4.0,0.982
11,0.068,0.06622527539730072,2.3006458115145203,0.4963492453098297,0.6366904973983765,0.6974822282791138,0.7762500047683716,25.0,25.0,1.0,0.98
12,0.4912,0.23923707008361816,41.25379635664215,0.13435105979442596,0.5351347327232361,5.130307197570801,0.42109376192092896,24.0,24.0,4.0,0.978
13,0.4474,0.814586877822876,39.14621939216072,0.06635437905788422,0.3607073128223419,2.263089179992676,0.48000001907348633,5.0,5.0,4.0,0.976
14,0.0784,0.07149721682071686,2.345743050984862,0.534563422203064,0.689508318901062,0.7081637382507324,0.7914062738418579,24.0,24.0,3.0,0.974
15,0.0766,0.0888194814324379,7.2049800311892325,0.5431972742080688,0.7046873569488525,0.7698226571083069,0.7870000600814819,25.0,25.0,3.0,0.972
16,0.0708,0.0689353346824646,2.1704706322934073,0.5557637214660645,0.701029896736145,0.7531250715255737,0.7723958492279053,24.0,24.0,1.0,0.97
17,0.2705,0.2776672840118408,29.24386236549563,0.28560370206832886,0.6448505520820618,2.7900924682617188,0.6375976800918579,64.0,64.0,2.0,0.968
18,0.0743,0.07121852785348892,6.408644887221434,0.5023343563079834,0.6601417064666748,0.926929771900177,0.7723958492279053,24.0,24.0,0.0,0.966
19,0.2376,0.16426512598991394,28.730464677688058,0.26287445425987244,0.6116551756858826,2.784226417541504,0.602343738079071,64.0,64.0,2.0,0.964
20,0.0647,0.06378617137670517,4.59504755412954,0.5711550712585449,0.693761944770813,0.7498023509979248,0.7776042222976685,24.0,24.0,1.0,0.962
21,0.1407,0.17072339355945587,25.443230040037886,0.09137757122516632,0.36879831552505493,5.195529460906982,0.44218751788139343,24.0,24.0,4.0,0.96
22,0.2361,0.09810610115528107,21.51235276514803,0.1709241420030594,0.4170222878456116,5.427694320678711,0.4263319671154022,61.0,61.0,4.0,0.958
23,0.0732,0.07587622106075287,3.2222622517735355,0.5206791758537292,0.6847174167633057,0.7326656579971313,0.7911458015441895,24.0,24.0,3.0,0.956
24,0.071,0.06740383803844452,7.185613117168044,0.6019513607025146,0.7451239824295044,0.7601906061172485,0.7893229126930237,24.0,24.0,3.0,0.954
25,0.0669,0.06041024997830391,2.810229927370736,0.5406618118286133,0.6657662391662598,0.7204597592353821,0.7953125238418579,24.0,24.0,0.0,0.952
26,0.2997,0.15227030217647552,16.580985932589396,0.12115934491157532,0.34026312828063965,5.033907890319824,0.45364582538604736,24.0,24.0,4.0,0.95
27,0.0685,0.06424765288829803,2.0080520537388913,0.5427858829498291,0.6840790510177612,0.7403843402862549,0.7809895873069763,24.0,24.0,3.0,0.948
28,0.2572,0.3416157364845276,9.278104643762308,0.38346272706985474,0.5628081560134888,1.7058296203613281,0.7469726800918579,64.0,64.0,2.0,0.946
29,0.4158,0.15759015083312988,16.488354495728025,0.1004360169172287,0.20351892709732056,5.039441108703613,0.4229166805744171,24.0,24.0,4.0,0.944
30,0.0671,0.06386297196149826,1.8954786958433938,0.5288225412368774,0.6494631171226501,0.9842713475227356,0.765625,24.0,24.0,3.0,0.942
31,0.0635,0.07161349058151245,1.8625630017238204,0.5012941360473633,0.6441999673843384,0.8004626035690308,0.7757812738418579,24.0,24.0,3.0,0.94
32,0.1815,0.05141977593302727,7.247608129631423,0.07504894584417343,0.13783720135688782,5.095648288726807,0.4027343988418579,64.0,64.0,4.0,0.938
33,0.0684,0.07625354826450348,1.7501671989994698,0.5334663391113281,0.659590482711792,0.9502301216125488,0.7726562023162842,24.0,24.0,0.0,0.9359999999999999
34,0.0717,0.07133903354406357,2.762428285161915,0.5460830926895142,0.6796703934669495,0.7258483171463013,0.7872396111488342,24.0,24.0,3.0,0.9339999999999999
35,0.0586,0.06513644754886627,1.6138895498629624,0.616453230381012,0.7419707775115967,0.7833582162857056,0.7817708253860474,24.0,24.0,1.0,0.9319999999999999
