1780023249	0	858
1780023249	1	858
1780023249	2	858
1780023249	3	858
1780023249	4	858
1780023249	5	858
1780023249	6	858
1780023249	7	858
1780023255	0	859
1780023255	1	859
1780023255	2	859
1780023255	3	859
1780023255	4	859
1780023255	5	859
1780023255	6	859
1780023255	7	859
1780023261	0	859
1780023261	1	859
1780023261	2	859
1780023261	3	859
1780023261	4	859
1780023261	5	859
1780023261	6	859
1780023261	7	859
1780023266	0	859
1780023266	1	859
1780023266	2	859
1780023266	3	859
1780023266	4	859
1780023266	5	859
1780023266	6	859
1780023266	7	859
1780023272	0	859
1780023272	1	859
1780023272	2	859
1780023272	3	859
1780023272	4	859
1780023272	5	859
1780023272	6	859
1780023272	7	859
1780023277	0	859
1780023277	1	859
1780023277	2	859
1780023277	3	859
1780023277	4	859
1780023277	5	859
1780023277	6	859
1780023277	7	859
1780023283	0	860
1780023283	1	860
1780023283	2	860
1780023283	3	860
1780023283	4	860
1780023283	5	860
1780023283	6	860
1780023283	7	860
1780023288	0	860
1780023288	1	860
1780023288	2	860
1780023288	3	860
1780023288	4	860
1780023288	5	860
1780023288	6	860
1780023288	7	860
1780023294	0	860
1780023294	1	860
1780023294	2	860
1780023294	3	860
1780023294	4	860
1780023294	5	860
1780023294	6	860
1780023294	7	860
1780023300	0	860
1780023300	1	860
1780023300	2	860
1780023300	3	860
1780023300	4	860
1780023300	5	860
1780023300	6	860
1780023300	7	860
1780023305	0	860
1780023305	1	860
1780023305	2	860
1780023305	3	860
1780023305	4	860
1780023305	5	860
1780023305	6	860
1780023305	7	860
1780023311	0	860
1780023311	1	860
1780023311	2	860
1780023311	3	860
1780023311	4	860
1780023311	5	860
1780023311	6	860
1780023311	7	860
1780023316	0	866
1780023316	1	866
1780023316	2	866
1780023316	3	866
1780023316	4	866
1780023316	5	866
1780023316	6	866
1780023316	7	866
1780023322	0	866
1780023322	1	866
1780023322	2	866
1780023322	3	866
1780023322	4	866
1780023322	5	866
1780023322	6	866
1780023322	7	866
1780023328	0	866
1780023328	1	866
1780023328	2	866
1780023328	3	866
1780023328	4	866
1780023328	5	866
1780023328	6	866
1780023328	7	866
1780023333	0	866
1780023333	1	866
1780023333	2	866
1780023333	3	866
1780023333	4	866
1780023333	5	866
1780023333	6	866
1780023333	7	866
1780023339	0	866
1780023339	1	866
1780023339	2	866
1780023339	3	866
1780023339	4	866
1780023339	5	866
1780023339	6	866
1780023339	7	866
1780023344	0	866
1780023344	1	866
1780023344	2	866
1780023344	3	866
1780023344	4	866
1780023344	5	866
1780023344	6	866
1780023344	7	866
1780023350	0	866
1780023350	1	866
1780023350	2	866
1780023350	3	866
1780023350	4	866
1780023350	5	866
1780023350	6	866
1780023350	7	866
1780023356	0	866
1780023356	1	866
1780023356	2	866
1780023356	3	866
1780023356	4	866
1780023356	5	866
1780023356	6	866
1780023356	7	866
1780023361	0	866
1780023361	1	866
1780023361	2	866
1780023361	3	866
1780023361	4	866
1780023361	5	866
1780023361	6	866
1780023361	7	866
1780023367	0	866
1780023367	1	866
1780023367	2	866
1780023367	3	866
1780023367	4	866
1780023367	5	866
1780023367	6	866
1780023367	7	866
1780023372	0	866
1780023372	1	866
1780023372	2	866
1780023372	3	866
1780023372	4	866
1780023372	5	866
1780023372	6	866
1780023372	7	866
1780023378	0	866
1780023378	1	866
1780023378	2	866
1780023378	3	866
1780023378	4	866
1780023378	5	866
1780023378	6	866
1780023378	7	866
1780023383	0	866
1780023383	1	866
1780023383	2	866
1780023383	3	866
1780023383	4	866
1780023383	5	866
1780023383	6	866
1780023383	7	866
1780023389	0	866
1780023389	1	866
1780023389	2	866
1780023389	3	866
1780023389	4	866
1780023389	5	866
1780023389	6	866
1780023389	7	866
1780023395	0	866
1780023395	1	866
1780023395	2	866
1780023395	3	866
1780023395	4	866
1780023395	5	866
1780023395	6	866
1780023395	7	866
1780023402	0	866
